time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.6600000000000003,-0.00824324694623,-0.00649697651351,10.607083948,0.000560831790915,0.0189538624814,0.0,-0.0528510930436,-0.0267474407656,1.81888684085,0.0471717721002,0.0489772730699,0.0,462.00479501974723,462.30432146749905,462.79251705006976,461.55383226275575
0.7200000000000003,-0.0118639701952,-0.00807694660005,10.7216154392,0.0031307728652,0.0214827060408,0.0,-0.0681514789079,-0.025609326416,1.99852589694,0.0323175587855,0.0227677364755,0.0,464.76488683137217,462.70706853590997,466.1902834152298,465.02914807608386
0.7800000000000004,-0.0163561324438,-0.00954804807297,10.8423987083,0.00576217139699,0.0230909191682,0.0,-0.0817232467038,-0.0232125417071,2.02752765635,0.0603711490376,0.0338505274958,0.0,417.993908333659,418.95878396106383,415.930652988954,418.3813453703951
0.8400000000000004,-0.0217001119135,-0.010819320224,10.9651643987,0.0100301405473,0.0249227882585,0.0,-0.0965879235123,-0.0187926786412,2.06458825151,0.0868181515799,0.0228931888602,0.0,420.8205301991403,419.87138356078714,419.7492541666061,422.0420094113862
0.9000000000000005,-0.0279394782792,-0.0117532246401,11.0890072872,0.0150640017308,0.0264429814889,0.0,-0.111517515837,-0.0118911353826,2.06350096375,0.0773070979066,0.0298225185874,0.0,407.4935609359149,408.11266819229786,408.558560774139,407.7161260928646
0.9600000000000005,-0.0352294861563,-0.012110953535,11.2174931195,0.0198753227296,0.0287127366586,0.0,-0.131702799329,0.000483393178564,2.21905528752,0.085402398192,0.0503336578213,0.0,458.12149356812813,459.75002489411645,457.44115658073264,458.0902544173393
1.0200000000000005,-0.0436923503753,-0.01168377068,11.3521041954,0.0247207576308,0.0320896882653,0.0,-0.150694125094,0.0142265124106,2.2678639729,0.0693176462565,0.0661035780848,0.0,424.9933443340671,426.3450716241484,425.7471722239411,424.37428532134254
1.0800000000000005,-0.0534054540986,-0.0103092258923,11.4909552343,0.028810775987,0.0358791923977,0.0,-0.173462174414,0.0320027000044,2.36029099139,0.0657614612016,0.0565029508868,0.0,440.78464967493085,439.9934766458836,439.1161629270797,438.8246330466065
1.1400000000000006,-0.0645818055525,-0.00776826249652,11.635921544,0.0328732092964,0.0398285252422,0.0,-0.199459958283,0.0531040608013,2.47165461598,0.0713377241689,0.0798938119489,0.0,445.4718938509575,447.3834912773953,445.5458353853095,446.0049076012163
1.2000000000000006,-0.0774704169884,-0.00382164762632,11.7891438593,0.0370295888049,0.0441602986827,0.0,-0.230663533642,0.0789070290394,2.63535008312,0.0647883510912,0.0487065885776,0.0,464.24788859817914,461.79794153891964,462.7048598931325,462.19240951966754
1.2600000000000007,-0.0922918387218,0.00174057568687,11.9515256624,0.0409307277523,0.0468957936972,0.0,-0.263676619872,0.106908225442,2.77700683892,0.0654760815908,0.0384946480374,0.0,457.52007457745424,456.7074487385502,456.63353104866724,456.69137839136874
